imgid,x_gt,y_gt,z_gt,omega_gt,phi_gt,kappa_gt,x_gps,y_gps,z_gps,,Timpstemp,t_s,ex,ey,ez_signed,e_h
301,465665.37755,5247973.39527,471.474089,98.084197,-74.783582,13.636537,465671.714017,5247978.594355,466.789001, ,16989655.0,16.989655,6.336467000015546,5.199084999971092,-4.6850880000000075,8.19641988182709
331,465665.407641,5247973.568785,471.593648,97.892453,-74.994292,13.42602,465671.417897,5247978.296013,466.885986, ,17985701.0,17.985701,6.010255999979563,4.727228000760078,-4.707661999999971,7.646558817955987
361,465665.35783,5247973.66338,471.575413,97.651246,-74.451132,13.210387,465671.606794,5247978.328252,466.546997, ,18984784.0,18.984784,6.248964000027627,4.66487199999392,-5.02841600000005,7.798113993137608
391,465665.311139,5247973.73119,471.555241,97.330447,-73.373579,13.021725,465671.32746,5247978.31877,466.687988, ,19983676.0,19.983676,6.01632100000279,4.587580000050366,-4.867253000000005,7.5658448723151
421,465665.225663,5247973.793967,471.530586,97.168287,-73.579099,12.903384,465670.767044,5247977.999745,466.450989, ,20996026.0,20.996026,5.541380999959074,4.205777999944985,-5.079597000000035,6.95668541559331
451,465665.297074,5247973.887483,471.546673,96.565707,-73.238145,12.39356,465670.615496,5247977.900607,466.352997, ,21988746.0,21.988746,5.3184219999820925,4.0131240002810955,-5.193675999999982,6.662640378372951
481,465665.390125,5247974.013123,471.570619,40.882771,-68.737743,-41.007435,465670.078688,5247977.74815,466.148987, ,22986362.0,22.986362,4.688563000003342,3.735027000308037,-5.421632000000045,5.994418211805912
511,465665.30685,5247974.177369,471.553097,39.778412,-69.234841,-42.764391,465670.041468,5247977.837277,466.156006, ,23980061.0,23.980061,4.734617999987677,3.659907999448478,-5.397090999999989,5.984273905014231
541,465665.251687,5247974.188836,471.566827,38.578682,-69.783155,-44.653896,465669.451764,5247977.674017,466.412994, ,24991330.0,24.99133,4.200077000015881,3.485181000083685,-5.153832999999963,5.457759009832398
571,465665.088825,5247974.031113,471.56249,36.420793,-68.482806,-47.129714,465668.523709,5247977.735007,466.161011, ,25988216.0,25.988216,3.4348839999875054,3.7038940005004406,-5.401479000000052,5.0514610619417155
601,465664.674506,5247973.960194,471.525364,40.57416,-67.296023,-43.239285,465668.011099,5247977.849139,466.002014, ,26989146.0,26.989146,3.3365929999854416,3.888945000246167,-5.52335000000005,5.12413368897529
631,465664.263487,5247973.865909,471.479137,56.584683,-72.687209,-28.812339,465667.429784,5247977.830308,466.128998, ,27987000.0,27.987,3.166296999959741,3.96439899969846,-5.350138999999956,5.073647220763797
661,465663.931917,5247973.628292,471.491279,88.270129,-73.920107,1.6178,465667.143493,5247977.920891,466.244995, ,28986773.0,28.986773,3.211576000030618,4.2925990000367165,-5.246284000000003,5.361028500119066
691,465663.686244,5247973.384568,471.659159,88.04212,-72.279595,1.611784,465667.045815,5247977.999257,466.475006, ,29985701.0,29.985701,3.359571000037249,4.614688999950886,-5.184152999999981,5.7080707660784125
721,465663.638741,5247973.355554,471.710632,87.891869,-74.063779,1.755269,465666.826938,5247978.000536,466.787018, ,30994598.0,30.994598,3.1881970000104047,4.644982000812888,-4.923613999999986,5.633867046598725
751,465663.579073,5247973.449049,471.70663,87.518196,-76.204692,1.599452,465666.712094,5247977.723365,467.161011, ,31984283.0,31.984283,3.133021000016015,4.274316000752151,-4.545619000000045,5.29958468757951
781,465663.523569,5247973.463732,471.698719,87.540244,-74.720079,1.743323,465666.211263,5247977.270627,467.600006, ,32988469.0,32.988469,2.6876939999638125,3.8068949999287724,-4.098712999999975,4.660058859920566
811,465663.486933,5247973.43749,471.684765,87.737717,-75.794025,2.163333,465665.38693,5247976.9976,468.01001, ,33990537.0,33.990537,1.8999970000004396,3.560109999962151,-3.6747550000000047,4.035389920669523
841,465663.353509,5247973.392721,471.908201,88.165944,-76.731999,2.715809,465664.517632,5247976.780404,468.247986, ,34996511.0,34.996511,1.1641229999950156,3.387682999484241,-3.660214999999994,3.582119269945089
871,465663.196314,5247973.303684,472.073158,87.669456,-75.883832,2.227731,465663.781658,5247976.128994,468.484009, ,35985152.0,35.985152,0.5853440000209957,2.825310000218451,-3.5891489999999635,2.885308336329926
901,465663.062035,5247973.146146,472.228222,86.507903,-75.690872,1.226884,465663.848222,5247975.895217,468.433014, ,36990143.0,36.990143,0.7861869999906048,2.749070999212563,-3.7952080000000024,2.8592798669710153
931,465662.969994,5247972.9713,472.384702,86.70281,-76.349999,1.483099,465663.804884,5247976.228882,468.045013, ,37989044.0,37.989044,0.8348899999982677,3.257581999525428,-4.339689000000021,3.3628680907417694
961,465662.881827,5247972.85776,472.325269,86.260141,-75.523015,0.989467,465663.819655,5247976.173227,468.31601, ,38995498.0,38.995498,0.9378279999946244,3.3154670000076294,-4.009258999999986,3.4455540607736093
991,465662.924803,5247972.880759,472.206854,86.135798,-76.048147,1.156617,465663.957025,5247975.138846,469.927002, ,39987301.0,39.987301,1.0322220000089146,2.2580869998782873,-2.2798520000000053,2.4828288616660084
1021,465663.126758,5247973.04768,472.224943,86.167583,-75.938341,1.28946,465664.163236,5247974.259657,471.277008, ,40988166.0,40.988166,1.0364779999945313,1.21197700034827,-0.9479349999999727,1.5947334867763496
1051,465663.328791,5247973.108067,472.348004,85.81725,-76.638585,0.874743,465663.789625,5247973.617243,472.237, ,41985116.0,41.985116,0.46083399996859953,0.5091760000213981,-0.1110039999999799,0.6867519017264168
1081,465663.615615,5247973.074926,472.493132,85.685287,-76.799745,0.768749,465663.445821,5247972.907972,473.158997, ,42996139.0,42.996139,-0.16979400004493073,-0.16695400048047304,0.6658649999999966,0.2381252626826724
1111,465663.848065,5247972.959125,472.653144,86.476491,-76.181726,1.630712,465663.157507,5247972.654042,473.653992, ,43990078.0,43.990078,-0.6905580000020564,-0.3050830001011491,1.000848000000019,0.7549476725691376
1141,465664.030846,5247972.868878,472.678681,86.856083,-78.72972,2.274352,465662.978038,5247972.944048,473.015015, ,44990278.0,44.990278,-1.0528080000076443,0.07516999915242195,0.3363340000000221,1.0554881399867415
1171,465664.077483,5247972.704337,472.645234,87.863625,-78.920472,3.374255,465662.75003,5247973.967843,471.036987, ,45989353.0,45.989353,-1.3274530000053346,1.263505999930203,-1.6082470000000058,1.8326425944746523
1201,465664.03277,5247972.414784,472.612101,88.316399,-77.465754,3.758786,465662.470291,5247975.180875,469.135986, ,46991230.0,46.99123,-1.5624790000147186,2.7660909993574023,-3.476114999999993,3.176885273693878
1231,465664.081083,5247971.959472,472.593945,87.842533,-75.054715,3.190678,465663.274648,5247975.909682,468.326996, ,47990403.0,47.990403,-0.8064349999767728,3.9502100003883243,-4.266949000000011,4.031686552344498
1261,465664.128353,5247971.418148,472.573467,87.502325,-74.926726,2.902706,465663.811653,5247976.095478,468.042999, ,48991066.0,48.991066,-0.31669999996665865,4.677330000326037,-4.530467999999985,4.688039549953568
1291,465664.198722,5247970.94701,472.454012,87.329708,-74.586864,2.722819,465664.264267,5247976.048377,468.089996, ,49985621.0,49.985621,0.06554500001948327,5.101366999559104,-4.364015999999992,5.101788060201856
1321,465664.301125,5247970.528781,472.278771,87.190661,-73.70648,2.555041,465664.296809,5247975.159089,469.333008, ,50987603.0,50.987603,-0.004315999976824969,4.63030800037086,-2.9457629999999995,4.630310011884106
1351,465664.477817,5247970.103249,472.205338,86.871178,-73.731191,2.185556,465664.247232,5247974.425871,470.377991, ,51987067.0,51.987067,-0.23058500001206994,4.322621999308467,-1.8273469999999747,4.328767768214886
1381,465664.864231,5247969.533564,472.301074,86.739786,-73.214908,1.978706,465664.322718,5247974.42543,470.290009, ,52996408.0,52.996408,-0.5415130000328645,4.891865999437869,-2.0110650000000305,4.921746568613712
1411,465665.369986,5247968.719927,472.47957,86.282552,-74.487038,1.34237,465664.131942,5247974.070906,470.312988, ,53987063.0,53.987063,-1.238043999997899,5.350979000329971,-2.1665820000000053,5.492333675943509
1441,465665.661658,5247967.802949,472.485455,85.929673,-74.369513,0.960758,465663.873819,5247973.816798,469.729004, ,54988206.0,54.988206,-1.7878390000551008,6.013848999515176,-2.756451000000027,6.273973866624542
1471,465665.829723,5247966.956482,472.504998,85.40768,-76.099169,0.559909,465663.764515,5247973.195067,469.687988, ,55989633.0,55.989633,-2.065208000014536,6.238584999926388,-2.817009999999982,6.57153154786847
1501,465666.003867,5247966.198347,472.514936,84.954627,-76.019668,0.031784,465663.54186,5247972.551771,469.528015, ,56990730.0,56.99073,-2.462006999994628,6.353423999622464,-2.9869209999999953,6.813770981402388
1531,465666.086188,5247965.523712,472.500656,84.920533,-75.998656,0.011581,465663.290049,5247972.086466,469.376984, ,57987768.0,57.987768,-2.7961389999836683,6.5627540005370975,-3.123671999999999,7.1335918988119404
1561,465666.261249,5247964.914525,472.432667,84.612608,-75.068855,-0.375404,465663.676815,5247972.395391,468.81601, ,59000097.0,59.000097,-2.5844339999603108,7.480866000056267,-3.616656999999975,7.914711315704995
1591,465666.457996,5247964.287986,472.4187,83.934208,-75.700529,-1.129193,465664.350082,5247971.35788,469.626007, ,59990803.0,59.990803,-2.1079139999928884,7.069893999956548,-2.7926929999999857,7.377445533651036
1621,465666.627835,5247963.61565,472.356626,83.679666,-77.040562,-1.37749,465664.886707,5247970.187801,470.441986, ,60987820.0,60.98782,-1.7411279999651015,6.5721509996801615,-1.9146400000000199,6.798874574137945
1651,465666.685631,5247962.953734,472.3237,83.385038,-75.700049,-1.823722,465664.843322,5247969.22116,470.519989, ,61986624.0,61.986624,-1.8423089999705553,6.267425999976695,-1.8037109999999643,6.532589924107924
1681,465666.74326,5247962.338998,472.298479,83.279049,-74.681402,-1.936468,465665.155389,5247968.374693,470.686005, ,62989481.0,62.989481,-1.5878709999960847,6.035694999620318,-1.6124739999999633,6.2410694949720185
1711,465666.831446,5247961.654929,472.267263,83.385416,-75.054601,-1.917017,465665.453607,5247967.739467,470.553986, ,63986343.0,63.986343,-1.3778390000225045,6.08453799970448,-1.713277000000005,6.238593028867231
1741,465666.987233,5247960.856909,472.256034,83.459822,-74.32904,-1.853331,465664.987545,5247966.775295,470.941986, ,64994689.0,64.994689,-1.9996880000107922,5.918385999277234,-1.3140480000000139,6.247082913954956
1771,465667.155511,5247960.043497,472.282232,83.193186,-73.833814,-2.083948,465665.013767,5247966.097203,470.734009, ,65990465.0,65.990465,-2.1417440000222996,6.053706000559032,-1.5482230000000072,6.421403561748471
1801,465667.426796,5247959.282904,472.332319,82.716546,-74.373374,-2.605149,465664.539504,5247965.021942,471.412994, ,66990381.0,66.990381,-2.8872919999994338,5.739037999883294,-0.919324999999958,6.424407541350811
1831,465667.715606,5247958.497246,472.381611,82.521528,-74.688558,-2.928326,465664.587798,5247964.243698,471.636993, ,67988070.0,67.98807,-3.127807999961078,5.746451999992132,-0.7446180000000027,6.5425448774031425
1861,465667.99334,5247957.718506,472.394831,82.957751,-73.919148,-2.522105,465663.887803,5247963.292006,472.071014, ,68995190.0,68.99519,-4.10553699999582,5.573499999940395,-0.32381700000001956,6.922379381951719
1891,465668.184598,5247956.992811,472.418322,82.98554,-73.93996,-2.513732,465663.324132,5247962.417316,472.239014, ,69989999.0,69.989999,-4.860466000041924,5.424505000002682,-0.1793079999999918,7.28350082258646
1921,465668.274677,5247956.293537,472.374027,82.890836,-74.959083,-2.654963,465663.206369,5247961.640042,472.272003, ,70990095.0,70.990095,-5.068307999987155,5.346505000256002,-0.10202400000002854,7.367011721213441
1951,465668.287881,5247955.512363,472.393836,82.755987,-74.664113,-2.893458,465663.126018,5247960.806981,472.376007, ,71989103.0,71.989103,-5.161863000015728,5.294618000276387,-0.01782900000000609,7.394444495686075
1981,465668.240305,5247954.639218,472.375383,82.824854,-73.819862,-3.011823,465663.181398,5247959.9509,472.42099, ,72994975.0,72.994975,-5.058906999998726,5.311681999824941,0.04560700000001816,7.335291793916612
2011,465668.13455,5247953.829572,472.308824,83.110508,-73.846015,-2.738531,465663.312984,5247959.216625,472.313995, ,73990580.0,73.99058,-4.821565999998711,5.387053000740707,0.005170999999961623,7.229649972518242
2041,465668.133627,5247953.178164,472.285065,82.334273,-73.765254,-3.543203,465663.323333,5247958.405262,472.528992, ,75000710.0,75.00071,-4.810293999966234,5.227098000235856,0.24392700000004197,7.103624558644751
2071,465668.29163,5247952.585157,472.285649,82.486988,-73.012751,-3.377432,465663.991386,5247957.767875,472.295013, ,75989663.0,75.989663,-4.30024399998365,5.182717999443412,0.009364000000005035,6.734438678995459
2101,465668.457255,5247951.975588,472.267146,82.500464,-73.054404,-3.51111,465664.356888,5247957.021119,472.049988, ,76991726.0,76.991726,-4.100367000035476,5.045531000010669,-0.21715800000004037,6.501568472841656
2131,465668.52618,5247951.358508,472.331323,82.309592,-73.369414,-3.710803,465664.9349,5247956.473169,471.820007, ,77996073.0,77.996073,-3.591279999993276,5.11466099973768,-0.5113160000000221,6.249563919233833
2161,465668.687053,5247950.731803,472.411305,82.870221,-70.824065,-3.206065,465665.14969,5247955.771748,471.682983, ,79000118.0,79.000118,-3.5373629999812692,5.039944999851286,-0.7283220000000483,6.157433117392544
2191,465668.922166,5247950.242739,472.422071,82.940914,-71.345597,-2.852173,465665.764977,5247955.145784,471.334991, ,79992207.0,79.992207,-3.157188999990467,4.903044999577105,-1.0870800000000145,5.831611496793906
2221,465669.124911,5247949.854076,472.36045,82.782761,-72.790122,-2.911174,465666.085772,5247954.499313,471.329987, ,81000374.0,81.000374,-3.039139000000432,4.645236999727786,-1.0304629999999975,5.55108932057156
2251,465669.215315,5247949.481769,472.228642,82.779297,-73.737301,-2.919982,465665.869301,5247953.622593,471.652985, ,81991045.0,81.991045,-3.3460139999515377,4.140823999419808,-0.5756569999999783,5.323742394410416
2281,465669.269402,5247949.041253,472.095281,82.621566,-73.510936,-3.256514,465666.341572,5247953.064146,471.572998, ,82992046.0,82.992046,-2.92783000000054,4.022893000394106,-0.5222830000000158,4.9755257613163915
2311,465669.379325,5247948.43129,472.050058,82.466465,-73.930561,-3.426186,465666.572374,5247952.518225,471.778015, ,83989841.0,83.989841,-2.806951000005938,4.0869350004941225,-0.2720429999999965,4.958024971165256
2341,465669.568193,5247947.61702,472.183103,82.773208,-73.047043,-3.265202,465667.099491,5247952.303983,471.541992, ,84992067.0,84.992067,-2.4687019999837503,4.686963000334799,-0.6411110000000235,5.297368377905312
2371,465669.867298,5247946.819699,472.238948,83.03552,-72.378755,-3.001551,465667.512159,5247951.879251,471.748993, ,85990138.0,85.990138,-2.355139000050258,5.059551999904215,-0.489955000000009,5.580837405738719
2401,465670.125197,5247946.183102,472.234783,82.752732,-73.326444,-3.165462,465668.242542,5247951.574913,471.553009, ,87001223.0,87.001223,-1.8826549999648705,5.391811000183225,-0.6817740000000185,5.711043311916795
2431,465670.340223,5247945.692682,472.391674,82.447895,-73.527349,-3.444081,465668.375693,5247951.107359,471.505005, ,88000430.0,88.00043,-1.9645299999974668,5.414676999673247,-0.8866690000000403,5.76004384806926
2461,465670.597957,5247945.27514,472.576764,82.00328,-73.746945,-3.917942,465668.24497,5247950.696914,471.345001, ,88994146.0,88.994146,-2.352987000020221,5.421774000860751,-1.2317630000000008,5.910345263914262
2491,465670.835934,5247945.06063,472.677734,81.856367,-73.51965,-4.050491,465668.090902,5247950.164354,471.071991, ,89991047.0,89.991047,-2.745031999947969,5.103724000044167,-1.6057429999999613,5.7951013234770254
2521,465670.861544,5247945.155078,472.843606,81.402544,-74.347024,-4.369649,465668.238542,5247949.596692,470.71701, ,91001091.0,91.001091,-2.6230019999784417,4.441613999195397,-2.1265960000000064,5.1583015043461184
2551,465670.805586,5247945.513965,473.003089,80.670732,-74.886484,-5.140234,465668.815246,5247948.826474,470.972992, ,91995038.0,91.995038,-1.9903399999602698,3.3125089993700385,-2.030097000000012,3.864475279562458
2581,465670.77871,5247945.857956,473.075739,79.986174,-75.92518,-5.887061,465669.050999,5247947.835974,471.122009, ,92991947.0,92.991947,-1.7277109999558888,1.9780180007219315,-1.9537300000000073,2.626316909770899
2611,465670.754391,5247946.064116,472.935796,81.206816,-73.964613,-4.800122,465668.95524,5247946.947434,471.528992, ,93988793.0,93.988793,-1.7991510000429116,0.8833179995417595,-1.4068039999999655,2.0042941424027223
2641,465670.690166,5247946.104349,472.8166,81.336958,-73.529688,-4.813867,465669.170936,5247946.401602,471.52301, ,94990710.0,94.99071,-1.5192299999762326,0.2972529996186495,-1.2935899999999947,1.5480371890268232
2671,465670.681486,5247945.86881,472.710391,81.650975,-72.753612,-4.675721,465669.288398,5247945.834115,471.940002, ,95990981.0,95.990981,-1.3930880000116304,-0.03469499945640564,-0.7703890000000229,1.3935199742966313
2701,465670.735573,5247945.486816,472.549101,81.663247,-71.979496,-4.785914,465669.263221,5247945.400827,472.140991, ,96996051.0,96.996051,-1.4723520000115968,-0.08598900027573109,-0.40811000000002196,1.4748608477095624
2731,465670.88766,5247944.802549,472.600566,81.816157,-71.859358,-4.782105,465669.429727,5247945.47765,472.536987, ,97989612.0,97.989612,-1.4579329999978654,0.6751009998843074,-0.06357900000000427,1.6066517956693565
2761,465671.113239,5247943.935207,472.898183,80.914513,-73.468146,-5.764871,465669.44638,5247945.744282,472.712006, ,98992435.0,98.992435,-1.6668590000481345,1.8090749997645617,-0.18617700000004334,2.459912860410835
2791,465671.315385,5247943.034847,472.994008,81.212717,-72.287783,-5.480555,465669.258917,5247945.956538,472.959015, ,99994520.0,99.99452,-2.0564679999952205,2.9216910004615784,-0.03499299999998584,3.572861449480307
2821,465671.437281,5247942.163725,473.048356,80.637597,-73.170566,-6.007413,465669.517301,5247946.2551,472.68399, ,100998957.0,100.998957,-1.919980000006035,4.091374999843538,-0.3643660000000182,4.519477026135644
2851,465671.398187,5247941.31913,473.073188,80.693106,-72.961893,-6.072032,465670.00284,5247946.674586,472.003998, ,101991500.0,101.9915,-1.395347000041511,5.3554560001939535,-1.0691899999999919,5.534248117001827
2881,465671.14607,5247940.536924,473.004306,80.69643,-73.507283,-5.823642,465670.40299,5247946.694475,471.67099, ,102999317.0,102.999317,-0.7430800000438467,6.157550999894738,-1.333315999999968,6.202225584640553
2911,465670.978821,5247939.816449,472.925542,80.039216,-75.356943,-6.299864,465670.635034,5247946.359707,471.143005, ,103990109.0,103.990109,-0.3437870000489056,6.543258000165224,-1.7825369999999907,6.5522831713936815
2941,465670.815504,5247939.219367,472.832054,81.140383,-72.687511,-5.107824,465670.682866,5247945.50367,470.934998, ,104996367.0,104.996367,-0.1326380000100471,6.284302999265492,-1.8970560000000205,6.285702588066343
2971,465670.808923,5247938.838576,472.691937,80.531763,-73.748175,-5.646936,465670.653925,5247944.425806,471.217987, ,105992047.0,105.992047,-0.1549980000127107,5.5872299997136,-1.473950000000002,5.5893795227831475
3001,465670.875234,5247938.445678,472.640704,80.585907,-72.567753,-5.823729,465670.890791,5247943.624234,471.203003, ,106990709.0,106.990709,0.015557000006083399,5.178555999882519,-1.4377010000000041,5.1785793673717535
3031,465671.131077,5247937.934385,472.72788,80.800103,-72.116238,-5.66328,465670.794435,5247942.635674,471.144012, ,107990602.0,107.990602,-0.3366420000093058,4.701288999989629,-1.5838680000000522,4.713326436561948
3061,465671.404617,5247937.381885,472.740686,80.550841,-72.600404,-5.939033,465670.470868,5247941.515077,471.240997, ,108995519.0,108.995519,-0.9337490000179969,4.133191999979317,-1.4996889999999894,4.237353337134825
3091,465671.552718,5247936.835703,472.721199,79.793743,-73.290417,-6.77644,465670.331632,5247940.937977,470.971008, ,109993408.0,109.993408,-1.22108600003412,4.102273999713361,-1.7501910000000294,4.2801522155413565
3121,465671.654266,5247936.185499,472.741795,80.422766,-72.206156,-6.297313,465669.904409,5247940.16251,470.791992, ,110990173.0,110.990173,-1.749857000017073,3.9770109998062253,-1.9498030000000313,4.34495293565862
3151,465671.708128,5247935.536218,472.747013,80.228844,-72.432088,-6.468057,465669.909021,5247939.662366,470.792999, ,111987977.0,111.987977,-1.7991069999989122,4.126148000359535,-1.9540139999999724,4.501320175050434
3181,465671.743383,5247934.894544,472.705076,80.255171,-72.180825,-6.504871,465669.740055,5247939.163234,470.97699, ,112995073.0,112.995073,-2.0033280000207014,4.2686900002881885,-1.7280860000000189,4.715404266256216
3211,465671.819721,5247934.172172,472.603822,80.869554,-70.025308,-6.239328,465669.533461,5247938.686551,470.919006, ,113991817.0,113.991817,-2.2862599999643862,4.514379000291228,-1.6848159999999552,5.060296685542023
3241,465672.017062,5247933.477637,472.598213,81.179119,-70.424188,-5.6517,465669.461642,5247938.020146,471.25, ,114998782.0,114.998782,-2.555419999989681,4.542508999817073,-1.348212999999987,5.211963103262184
3271,465672.254675,5247932.789523,472.654121,80.294494,-72.240216,-6.594228,465669.518327,5247937.386332,471.561005, ,115993552.0,115.993552,-2.7363479999476112,4.59680899977684,-1.0931159999999522,5.349603102777499
3301,465672.542042,5247932.043611,472.726008,80.613296,-71.120699,-6.392351,465669.954544,5247937.117054,471.643005, ,116997391.0,116.997391,-2.587498000008054,5.073442999273539,-1.0830029999999624,5.695170740805175
3331,465672.864339,5247931.341767,472.785012,80.973728,-70.333433,-6.066778,465670.209095,5247936.759928,471.845001, ,117996429.0,117.996429,-2.655244000023231,5.41816100012511,-0.94001099999997,6.033803885024446
3361,465673.282429,5247930.67921,472.830454,80.792578,-70.627926,-6.269219,465670.023661,5247936.027504,472.164001, ,119000177.0,119.000177,-3.258767999999691,5.348294000141323,-0.66645299999999,6.26289211066019
3391,465673.700018,5247929.974768,472.885458,79.014168,-73.83118,-8.020995,465669.967448,5247935.449918,472.203003, ,119992133.0,119.992133,-3.7325699999928474,5.475150000303984,-0.6824550000000045,6.626412779979475
3421,465674.011608,5247929.196064,472.918298,80.276992,-71.94332,-6.779153,465670.417985,5247935.047192,471.824005, ,120993081.0,120.993081,-3.593622999964282,5.851127999834716,-1.0942929999999933,6.866573027087245
3451,465674.087836,5247928.36812,473.011451,79.834248,-72.707342,-7.318548,465670.511443,5247934.246456,471.809998, ,121995711.0,121.995711,-3.5763930000248365,5.87833600025624,-1.201453000000015,6.88080089978886
3481,465674.093458,5247927.610274,472.962691,80.206497,-72.092614,-6.987446,465670.847582,5247933.644351,471.535004, ,123001768.0,123.001768,-3.2458759999717586,6.034076999872923,-1.4276869999999917,6.85170024501861
3511,465673.961025,5247926.886746,472.895355,80.195952,-71.767333,-7.071181,465670.917416,5247932.677048,471.64801, ,123991598.0,123.991598,-3.0436090000439435,5.7903020000085235,-1.2473449999999957,6.541494706598118
3541,465673.90281,5247926.21781,472.856816,79.949825,-71.79554,-7.393171,465671.321111,5247932.007866,471.481995, ,124998818.0,124.998818,-2.581698999973014,5.790055999532342,-1.3748209999999972,6.339551893011219
3571,465674.008379,5247925.529122,472.780571,80.166958,-71.253429,-7.269335,465671.520226,5247931.206513,471.648987, ,125993836.0,125.993836,-2.4881530000129715,5.67739100009203,-1.1315840000000321,6.198683240769729
3601,465674.183093,5247924.878859,472.698057,80.034104,-71.47596,-7.428018,465671.960936,5247930.414864,471.90799, ,126997959.0,126.997959,-2.22215700004017,5.536004999652505,-0.7900670000000218,5.965344339516794
3631,465674.38115,5247924.248058,472.575445,80.002916,-71.194418,-7.57074,465672.045809,5247929.436359,472.075012, ,127992701.0,127.992701,-2.3353409999981523,5.188301000744104,-0.5004329999999868,5.689664740614744
3661,465674.567003,5247923.563276,472.476749,80.18084,-70.810358,-7.435453,465672.237182,5247928.601711,472.098999, ,128992435.0,128.992435,-2.32982099999208,5.038434999994934,-0.3777499999999918,5.551026314221366
3691,465674.799659,5247922.850699,472.415437,79.881108,-71.235382,-7.793407,465672.187155,5247927.790701,472.076996, ,129991502.0,129.991502,-2.6125040000188164,4.94000199995935,-0.3384409999999889,5.588273159905186
3721,465674.984334,5247922.079915,472.457284,79.904737,-71.230067,-7.87859,465671.865928,5247927.070184,472.01001, ,131001279.0,131.001279,-3.1184059999650344,4.990268999710679,-0.44727399999999307,5.884491538790021
3751,465675.191356,5247921.235055,472.422652,80.174741,-70.430266,-7.634377,465671.567334,5247926.349536,472.118011, ,131996230.0,131.99623,-3.624022000003606,5.114481000229716,-0.3046410000000037,6.26828934863579
3781,465675.413656,5247920.376353,472.377989,79.718215,-71.472991,-8.121656,465671.706988,5247925.704124,472.244995, ,132991141.0,132.991141,-3.7066679999697953,5.327770999632776,-0.1329939999999965,6.490341399843933
3811,465675.476214,5247919.481151,472.394718,79.464672,-72.085112,-8.395614,465671.703288,5247925.070661,472.269012, ,133988976.0,133.988976,-3.7729260000051,5.589510000310838,-0.1257060000000365,6.743707633423126
3841,465675.353516,5247918.561051,472.442591,80.211679,-70.625165,-7.758502,465672.199622,5247924.756578,471.899994, ,135000631.0,135.000631,-3.153893999988213,6.19552700035274,-0.5425970000000007,6.952093366408529
3871,465675.318091,5247917.652003,472.431472,80.161914,-70.517764,-7.759773,465672.020049,5247923.735164,471.989014, ,135994228.0,135.994228,-3.2980420000385493,6.083161000162363,-0.4424579999999878,6.9196769280013815
3901,465675.376267,5247916.736309,472.363614,80.085378,-70.620662,-7.815725,465672.393745,5247923.099497,471.889008, ,136994127.0,136.994127,-2.9825219999765977,6.3631879994645715,-0.4746059999999943,7.02748881157945
3931,465675.402054,5247915.807462,472.363342,80.210726,-70.041952,-7.666243,465672.359073,5247922.332852,472.074005, ,137992131.0,137.992131,-3.042980999976862,6.525390000082552,-0.2893369999999891,7.200031112390943
3961,465675.516015,5247914.925767,472.393601,79.779225,-70.481111,-8.112878,465673.020117,5247921.784418,471.665009, ,138993058.0,138.993058,-2.495898000022862,6.858651000075042,-0.7285919999999919,7.298671137087114
